numOnes,Genotype,Tests,Fitness
5,'11100011',29514,5.0
4,'11100100',22688,4.0
5,'11100101',29490,5.0
5,'11100110',28888,5.0
6,'11100111',43665,6.0
4,'11101000',22780,4.0
5,'11101001',29059,5.0
5,'11101010',29314,5.0
6,'11101011',43270,6.0
5,'11101100',29142,5.0
6,'11101101',43457,6.0
6,'11101110',43151,6.0
7,'11101111',70971,7.0
4,'11110000',22824,4.0
5,'11110001',29232,5.0
5,'11110010',29509,5.0
6,'11110011',43559,6.0
5,'11110100',29046,5.0
6,'11110101',43179,6.0
6,'11110110',43217,6.0
7,'11110111',70621,7.0
5,'11111000',29636,5.0
6,'11111001',43794,6.0
6,'11111010',44149,6.0
7,'11111011',70631,7.0
6,'11111100',43641,6.0
7,'11111101',70741,7.0
7,'11111110',70898,7.0
8,'11111111',120619,8.0
