1,37597.86,1509620.957,153634.842,55866478.89,2528,0
2,53752.06,1515226.286,145916.1649,69687087.7,5106,0
3,56695.59,1505875.815,147591.4213,121457368.1,5080,0
4,45559.46,1493584.59,145243.5872,112093331.8,3550,0
5,60591.02,1489356.543,135228.1412,179744174.6,5438,0
6,37605.69,1500100.541,140121.3316,63614111,3779,0
7,47991.88,1506578.656,135535.0404,89113972.16,4539,0
8,49896.39,1512207.332,130691.147,81878607.65,5798,0
9,50829.59,1518959.033,139387.6604,58311014.06,6132,0
10,27375.58,1517024.836,134456.0697,26725152.45,6572,0
11,14502.63,1519546.392,131268.7062,8000751.93,1345,0
12,9254.39,1520665.787,129659.1474,3055794.072,5014,0
13,21906.08,1519896.382,127516.2405,17406199.88,2041,0
14,42708.53,1508432.737,122328.7971,67889364.94,3232,4033.935554
15,35482.74,1514626.408,120411.4341,28529024.03,2269,9981.746465
16,32606.28,1518989.783,123701.3081,45527325.13,2989,3553.768755
17,9529.07,1515939.08,121638.7198,3940621.814,3947,0
18,27828.45,1500249.218,131355.8854,29373674.54,3423,0
19,47781.29,1502611.818,123030.7127,57484053.12,2295,2104.724572
20,6361.22,1502404.494,129924.0488,1521983.803,2896,0
21,9173.66,1502567.687,128819.1245,2801687.42,4594,0
22,74351.74,1495773.969,120445.1153,123363206.6,6023,17462.78186
23,52834.02,1488943.575,123139.7557,103986943.1,2702,0
24,4883.55,1272506.227,159151.9939,1096324.419,3922,0
25,7651.81,1271236.64,159529.3253,2157583.91,5222,0
26,7556.99,1272426.256,161356.8181,1922344.022,266,0
27,4772.2,1272478.632,159984.6195,671688.4082,2724,0
28,4989.66,1273899.349,159913.8115,621500.9243,2272,0
29,3500.18,1274500.014,160729.4789,466605.0893,4439,0
30,2947.74,1275039.431,160784.2539,445721.7946,2562,0
31,3188.08,1274727.11,159997.944,471940.3552,3010,0
32,2462.26,1275072.812,159713.1281,253062.0057,2271,0
33,5882.23,1274516.103,159145.392,1487292.222,3007,0
34,4391.59,1273233.563,160711.4533,790376.1576,2143,0
35,3649.01,1274155.675,161524.7206,814537.4026,2246,0
36,3449.53,1274700.94,161708.5704,379747.5115,2856,0
37,4224.92,1273049.112,161079.0874,466776.0019,2109,0
38,4228.36,1273722.167,160407.4367,631583.7071,1250,0
39,1940.58,1273073.733,159958.0352,184644.9224,1381,0
40,5157.02,1273485.14,162883.2569,1205843.231,2585,0
41,4362.22,1273582.603,161988.827,714446.7148,1488,0
42,2655.47,1276137.674,161575.447,428546.9841,2224,0
43,2646.37,1276524.585,162268.1807,412753.8178,3138,0
44,2702.76,1276853.376,161995.6573,289739.2862,1977,0
45,3078.92,1277236.211,162449.82,451967.1787,1667,0
46,4553.94,1275582.245,161629.7355,803224.4487,4748,0
47,2379.86,1274685.278,162427.3733,345560.1126,1828,0
48,3541.02,1275185.169,162077.2546,430390.1266,1413,0
49,2732.18,1275599.187,162610.5336,404919.0634,2118,0
50,2407.57,1275999.702,162771.8431,275058.7699,1791,0
51,3608.62,1275183.15,162873.5924,380226.2535,1920,0
52,3784.16,1273547.69,164057.6615,802234.2451,1957,0
53,6622.89,1274479.762,163840.3168,1818892.901,3149,0
54,2314.39,1274472.514,162916.6992,254553.1261,1810,0
55,3647.86,1275473.578,164616.2985,724267.4814,2100,0
56,6174.76,1274349.932,165235.5948,1338211.245,2899,0
57,8602.72,1276133.187,165709.0996,1309647.549,3549,0
58,3361.35,1275423.197,163798.745,464602.8839,1879,0
59,2787.72,1275356.099,163368.828,392497.1079,2004,0
60,7274.08,1275337.644,165436.116,1197707.671,2742,0
61,3859.69,1276591.686,164618.6588,815009.8091,4233,0
62,8012.96,1277189.548,165117.8593,2342369.168,2516,0
63,3574.57,1276618.117,163836.4796,537384.1249,3188,0
64,2403.03,1276079.141,163508.2634,327622.2326,1567,0
65,4709.99,1276739.837,163047.4802,959979.8258,3683,0
66,9710.87,1278631.169,165648.7194,3337125.661,1684,0
67,3606.87,1279168.285,164036.4644,637518.6278,1632,0
68,4428.89,1278306.426,164175.5867,1080482.017,2234,0
69,2932.41,1277795.616,163601.7295,436766.809,1274,0
70,3103.37,1278424.238,163002.5141,515130.6446,1114,0
71,4429.43,1277682.389,162988.8712,716122.6733,1328,0
72,6129.16,1279623.356,163187.0045,766756.7576,2637,0
73,2740.33,1279261.227,163057.6931,348485.8726,1885,0
74,3532.98,1279079.713,162539.7203,546309.72,1913,0
75,3181.61,1279811.602,162325.0982,469738.5138,1734,0
76,6545.75,1280776.42,162771.4929,1391565.605,3951,0
77,5086.69,1276129.138,160611.3512,1465566.223,5538,0
78,4019.22,1276896.702,161348.2342,759488.2293,2435,0
79,4341.71,1277553.253,160699.8567,941737.5047,3422,0
80,3670.96,1277697.629,161669.5978,834344.6348,2356,0
81,4252.1,1278725.291,162122.5267,757808.3784,2304,0
82,5475.43,1278744.692,161207.1534,1773822.981,3309,0
83,6677.78,1278423.289,159824.1765,2385095.804,4383,0
84,4752.81,1279456.969,159991.4739,512325.1187,1131,0
85,6302.18,1279122.699,158484.1435,1401012.071,1378,0
86,7505.53,1276308.762,159600.6542,2498559.903,4950,0
87,7898.27,1278021.332,158349.7914,2190162.952,5174,0
